YEAR,MO,DY,HR,ALLSKY_SFC_UVB,ALLSKY_SFC_LW_DWN,PRECTOTCORR,PS
2025,1,12,16,0.15,408.65,0.0,84.4
2025,1,12,17,0.01,411.2,0.0,84.46
2025,1,12,18,0.0,413.98,0.0,84.53
2025,1,12,19,0.0,385.52,0.0,84.61
2025,1,12,20,0.0,392.8,0.0,84.66
2025,1,12,21,0.0,379.2,0.0,84.67
2025,1,12,22,0.0,361.7,0.0,84.67
2025,1,12,23,0.0,357.8,0.0,84.66
2025,1,13,0,0.0,359.23,0.0,84.64
2025,1,13,1,0.0,338.6,0.0,84.6
2025,1,13,2,0.0,359.27,0.0,84.57
2025,1,13,3,0.0,363.8,0.0,84.58
2025,1,13,4,0.0,361.25,0.0,84.61
2025,1,13,5,0.0,355.92,0.0,84.66
2025,1,13,6,0.01,358.2,0.0,84.74
2025,1,13,7,0.1,354.4,0.0,84.82
2025,1,13,8,0.46,371.02,0.0,84.85
2025,1,13,9,1.03,369.73,0.0,84.82
2025,1,13,10,1.5,384.3,0.0,84.76
2025,1,13,11,2.02,394.23,0.0,84.66
2025,1,13,12,2.0,396.05,0.0,84.57
2025,1,13,13,1.65,397.77,0.0,84.49
2025,1,13,14,1.14,401.17,0.0,84.45
2025,1,13,15,0.59,396.85,0.0,84.46
2025,1,13,16,0.16,399.15,0.0,84.49
2025,1,13,17,0.01,397.4,0.0,84.54
2025,1,13,18,0.0,398.8,0.0,84.6
2025,1,13,19,0.0,373.15,0.0,84.67
2025,1,13,20,0.0,384.48,0.0,84.72
2025,1,13,21,0.0,385.75,0.0,84.74
2025,1,13,22,0.0,384.4,0.0,84.74
2025,1,13,23,0.0,385.48,0.0,84.71
2025,1,14,0,0.0,396.0,0.0,84.66
2025,1,14,1,0.0,375.27,0.0,84.62
2025,1,14,2,0.0,396.83,0.0,84.59
2025,1,14,3,0.0,396.3,0.01,84.59
2025,1,14,4,0.0,388.48,0.01,84.62
2025,1,14,5,0.0,370.77,0.0,84.66
2025,1,14,6,0.01,362.25,0.0,84.72
2025,1,14,7,0.12,342.05,0.38,84.79
2025,1,14,8,0.5,359.12,0.52,84.83
2025,1,14,9,1.08,370.55,0.55,84.83
2025,1,14,10,1.62,386.7,0.4,84.8
2025,1,14,11,1.94,395.12,0.26,84.72
2025,1,14,12,1.96,396.75,0.13,84.62
2025,1,14,13,1.68,379.52,0.07,84.51
2025,1,14,14,1.22,391.83,0.07,84.44
2025,1,14,15,0.57,390.73,0.06,84.43
2025,1,14,16,0.16,392.83,0.1,84.46
2025,1,14,17,0.01,388.15,0.14,84.51
2025,1,14,18,0.0,386.15,0.2,84.58
2025,1,14,19,0.0,374.17,0.25,84.66
2025,1,14,20,0.0,376.45,0.24,84.73
2025,1,14,21,0.0,377.35,0.23,84.75
2025,1,14,22,0.0,381.58,0.22,84.73
